Time,Total Timesteps,Current Session,Accuracy,Negative %,Reward,Profit,Weighted Proft,Next,Next Weight
16:13,0,0,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:14,20000,20000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:15,40000,40000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:16,60000,60000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:17,80000,80000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:18,100000,100000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:19,120000,0,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:23,220000,100000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:26,320000,200000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:29,420000,300000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:33,520000,400000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:36,620000,500000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:39,720000,600000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:43,820000,700000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:46,920000,800000,0.23048112935753384,45.52002304811293,17.714526296595928,1.347483164494261,0.6993459807148843,ADBE,5
16:58,1020000,0,0.6626332469029098,42.206856813598385,69.94701163199716,3.599590594216173,2.8526949499806125,AAL,8
17:02,1030000,10000,0.7490636704119851,39.61394410832613,98.23774379886274,5.063309967508023,4.047677898099647,STZ,10
17:05,1040000,20000,0.8066839527513685,42.75424949582253,115.80475787246515,5.065695626791039,4.758217511821663,META,7
17:08,1050000,30000,0.6050129645635264,39.70037453183521,140.20786007082728,6.378635364741765,5.821747578388802,META,7
17:12,1060000,40000,0.6626332469029098,39.671564390665516,136.7598975216566,5.996764175980513,5.623234372968643,META,7
17:15,1070000,50000,0.7202535292422932,39.757994814174594,143.34023685216155,6.222087310432665,5.943131281457639,MRK,4
17:19,1080000,60000,0.7778738115816767,39.09536156727168,139.86274875747483,6.298832678937574,5.778900190217624,TTWO,7
17:22,1090000,70000,0.6914433880726015,39.325842696629216,141.36856215136592,6.644825761789333,5.815825546392173,RMD,7
17:25,1100000,80000,0.9219245174301354,33.62143474503025,175.0083428735486,8.427781576592784,7.294710361151493,CEG,2
17:29,1110000,90000,0.5762028233938346,37.9717660616537,134.47932629764563,6.084876100419242,5.569356075987809,COP,9
17:32,1120000,0,0.7778738115816767,38.403918179199074,158.83759823015475,6.720381872668568,6.619172226389142,NDSN,10
17:49,1170000,50000,0.8931143762604437,38.49034860270815,158.7930880701356,6.9856175869618395,6.514604960492764,ZBRA,10
18:05,1220000,100000,1.181215787957361,41.169691731489486,145.1348165866462,6.338637970514598,5.937599638460209,QCOM,9
18:22,1270000,150000,0.9507346585998271,42.206856813598385,147.7571079880662,5.854626385952061,6.052050873767937,CBOE,9
18:41,1320000,200000,1.2388360702967445,41.60184384903486,188.9339961489969,7.285994906216523,7.761765259156068,COST,5
19:00,1370000,250000,1.6421780466724287,35.609334485738984,196.80329860999873,7.811704740611951,8.059907286881025,AXP,10
19:19,1420000,300000,1.2676462114664362,38.98012100259291,212.3110940674672,8.558238629154957,8.75510620383357,EXPD,5
19:36,1470000,350000,1.584557764333045,36.76174013252665,235.52371689388687,9.423743182255143,9.714163858884088,AXON,9
19:53,1520000,400000,1.6997983290118122,39.12417170844137,265.1724408259087,10.338661254093974,10.940741114683673,VLTO,1
22:15,1570000,0,1.6421780466724287,34.34168827427254,240.62059086097534,9.181565505909303,9.832031990687097,AON,8
22:34,1620000,50000,1.5557476231633534,35.46528377989052,229.7395787774781,8.868993907373968,9.441506441338445,BK,2
22:53,1670000,100000,1.930279458369346,37.251512532411404,260.917203596358,10.212601061706676,10.719703069664787,ROST,8
23:12,1720000,150000,2.304811293575338,38.11581676750216,257.9662812539155,10.37302077203482,10.53112291139228,SPG,10
23:31,1770000,200000,2.4488619994237975,33.679055027369635,306.0456586473958,12.28447442285849,12.617977107408493,TSLA,8
00:34,1770000,0,2.274690469334869,34.811402245896915,294.49786219563475,11.696595887806923,12.103953621844736,BLDR,5
00:51,1820000,50000,2.418658220558595,32.65188597754103,299.33569248949084,12.03081723343286,12.361843725724933,MRNA,9
01:09,1870000,100000,2.418658220558595,34.55226029369422,301.5178651665898,12.460950546037727,12.483330101631795,PAYC,7
01:26,1920000,150000,2.6490066225165565,31.75928591995393,297.59691657914004,11.831394802747068,12.21956845752979,ZTS,9
01:44,1970000,200000,3.0233227756982437,32.68067952778578,321.4005660744196,13.05749593104011,13.270513659499326,AVY,10
02:01,2020000,250000,3.109703426432479,29.13907284768212,322.1430804281983,13.167225541602418,13.29228354468272,CCL,10
02:18,2070000,300000,3.4840195796141664,27.900950187158074,342.2113524233851,13.965980392019503,14.083011234498425,MRNA,9
02:36,2120000,350000,3.3112582781456954,32.36395047509358,354.9823151136692,14.453512125917237,14.59546100796727,ABT,10
