Time,Total Timesteps,Current Session,Accuracy,Negative %,Reward,Profit,Weighted Proft,Next,Next Weight
23:13,0,0,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:18,50000,0,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:21,100000,50000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:23,150000,100000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:25,200000,150000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:27,250000,200000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:30,300000,250000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:32,350000,300000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:34,400000,350000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:37,450000,400000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:40,500000,450000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:43,550000,500000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:46,600000,550000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:49,650000,600000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
23:51,700000,650000,0.0,47.451770803340054,6.091667083227579,0.739584447158284,0.2517437784055552,LIN,3
