Time,Total Timesteps,Current Session,Accuracy,Negative %,Reward,Profit,Weighted Proft,Next,Next Weight
22:49,0,0,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
22:54,100000,100000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
22:59,200000,200000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:02,300000,300000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:07,400000,400000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:12,500000,500000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:46,500000,0,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:50,600000,100000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:54,700000,200000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
23:58,800000,300000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
00:03,900000,400000,0.34572169403630076,47.10458081244598,10.477289288691287,0.3643358824037227,0.3071854004099202,VRTX,7
00:07,1000000,500000,0.40334197637568425,47.046960530106595,12.746875315996563,0.5031572244182005,0.3971161892137393,VRTX,7
01:15,1100000,0,0.8931143762604437,38.31748775569,166.37950791758993,8.147545928495235,7.0203668190388955,VTRS,5
01:45,1200000,100000,0.9795447997695189,38.54796888504753,170.61612176345187,8.019215136105595,7.185926310534634,WELL,7
02:15,1300000,200000,0.9507346585998271,36.64649956784788,150.22100057031864,7.755871684592114,6.351210890890452,PWR,2
02:45,1400000,300000,0.547392682224143,37.6260443676174,136.5321089187408,7.257784853058969,5.768558831335547,RSG,1
03:15,1500000,400000,0.864304235090752,37.68366464995678,137.52885416184932,7.460913644656591,5.80222678568582,MU,1
03:45,1600000,500000,0.40334197637568425,38.31748775569,106.65254653894272,5.601853644249009,4.492350193661887,RSG,1
04:16,1700000,600000,0.432152117545376,38.403918179199074,118.70729440939792,6.187727385349419,4.969417958003107,AMT,3
04:46,1800000,700000,0.6914433880726015,40.24776721405935,106.42621900813272,5.293060418164267,4.470859166559157,SPGI,1
05:17,1900000,800000,0.8066839527513685,40.276577355229044,114.0286272062128,6.2552928549265365,4.782176203811335,ALB,1
05:48,2000000,900000,0.9795447997695189,35.177182368193606,124.14994637207434,7.374392246384477,5.225442964928105,URI,5
06:19,2100000,1000000,0.6626332469029098,39.844425237683666,117.83637147251308,6.859520263573669,4.951248425988357,META,6
06:50,2200000,1100000,0.7202535292422932,36.502448861999426,126.34179541795262,6.797149550779699,5.301003648656951,EMN,9
07:21,2300000,1200000,0.9795447997695189,40.30538749639873,127.94111441425224,7.21168605625078,5.368324969781438,GIS,4
07:52,2400000,1300000,0.6626332469029098,36.21434745030251,132.52814033559784,7.646521965219897,5.555285383788698,STT,1
08:23,2500000,1400000,0.6338231057332181,38.77845001440507,130.98081211004825,6.54658300894959,5.4588195983209085,WTW,1
08:54,2600000,1500000,0.7202535292422932,40.10371650821089,115.4265226502578,6.7354073780298,4.8437300505081184,GIS,4
09:25,2700000,1600000,0.6626332469029098,39.0089311437626,118.85340092232198,6.498937144938863,4.965316949094662,GIS,4
09:55,2800000,1700000,0.6338231057332181,39.58513396715644,108.50116485290191,5.96477774594336,4.50960034483453,GIS,4
10:26,2900000,1800000,0.6626332469029098,40.30538749639873,126.1374046079317,6.57469400076392,5.218814836527053,PEP,5
10:56,3000000,1900000,0.5762028233938346,40.47824834341689,127.55255798113555,6.3762896696201725,5.244010643807882,AMGN,6
