days,optimals,snp,dqnBiggerNet_percent,dqnBiggerNet_weight,dqnBiggerNet_stock,dqnFastBigNet_percent,dqnFastBigNet_weight,dqnFastBigNet_stock,dqnVeryLarge_percent,dqnVeryLarge_weight,dqnVeryLarge_stock
7/20/2010 0:00,0.077661461,0.077661461,0.007702446,9,FE,0.034482829,10,BLDR,0.062952178,10,LEN
7/21/2010 0:00,0.124675333,0.124675333,-0.05487807,9,RF,0,10,ENPH,-0.027499962,3,BRO
7/22/2010 0:00,0.140746831,0.140746831,0.048419655,10,EA,0.09777779,10,BLDR,0.036024839,10,PHM
7/23/2010 0:00,0.154416785,0.154416785,0.027595274,10,AMD,0.038781207,6,SWKS,0.04002915,9,CRM
7/26/2010 0:00,0.082663139,0.082663139,-0.001196557,9,GILD,0.010461879,2,PM,0.032819785,10,LEN
7/27/2010 0:00,0.087490965,0.087490965,0.021818219,2,EIX,0,7,KVUE,0,2,CTVA
7/28/2010 0:00,0.07592473,0.07592473,0,2,VLTO,-0.013257185,2,NTAP,0.006652976,10,FRT
7/29/2010 0:00,0.122779543,0.122779543,-0.018527402,2,ADP,0,7,KVUE,-0.002394278,10,DVN
7/30/2010 0:00,0.07641199,0.07641199,0.032198688,9,VRTX,-0.002562847,1,STT,-0.006379579,10,BMY
8/2/2010 0:00,0.061447772,0.061447772,0.050436179,10,EQT,0.031945205,6,SWKS,0.021396023,10,HD
8/3/2010 0:00,0.093828959,0.093828959,0.019571888,8,AMZN,-0.000531799,8,KO,0.049234677,9,TSLA
8/4/2010 0:00,0.219491005,0.219491005,0.010690953,6,GD,0.059090851,10,BLDR,0.011470991,8,MKTX
8/5/2010 0:00,0.080455686,0.080455686,-0.001846958,6,MDT,0,7,KVUE,0.040419574,9,BKNG
8/6/2010 0:00,0.111720786,0.111720786,0.003705156,1,ORCL,0,5,PANW,-0.002277956,4,CNC
8/9/2010 0:00,0.049519266,0.049519266,0.039436628,1,AES,0.016837598,1,FRT,0.002485527,10,PXD
8/10/2010 0:00,0.104460099,0.104460099,0,2,VLTO,-0.021822129,6,SWKS,0.005212269,8,DVN
8/11/2010 0:00,0.028267126,0.028267126,-0.015378839,10,BMY,0,7,KVUE,-0.075354561,5,HIG
8/12/2010 0:00,0.053100642,0.053100642,-0.003608751,6,HD,0.002891801,6,SWKS,0.05202818,9,NFLX
8/13/2010 0:00,0.047991105,0.047991105,0.047991105,10,NVDA,0,7,KVUE,0.000405607,4,HUM
8/16/2010 0:00,0.067632903,0.067632903,0.036644936,10,DXCM,0.067632903,10,BLDR,0.067632903,8,BLDR
8/17/2010 0:00,0.08742416,0.08742416,0.02915452,10,ALGN,0,5,PANW,0.025838934,6,SPG
8/18/2010 0:00,0.044081933,0.044081933,-0.005126887,3,FE,0.007361088,3,CINF,-0.01379312,8,DVN
8/19/2010 0:00,0.06195391,0.06195391,-0.006165536,1,YUM,-0.012373521,6,SWKS,0,9,MRNA
8/20/2010 0:00,0.169484449,0.169484449,0.083743881,8,BLDR,0,5,PANW,-0.002074736,1,JKHY
8/23/2010 0:00,0.055261319,0.055261319,0.005995691,10,ED,0,7,KVUE,0.006794643,7,OXY
8/24/2010 0:00,0.015050086,0.015050086,0.007024305,10,ED,-0.018167081,7,JPM,0,6,VLTO
8/25/2010 0:00,0.090452294,0.090452294,-0.001669023,9,FE,0.090452294,10,BLDR,0,4,HWM
8/26/2010 0:00,0.041142323,0.041142323,0.012872622,5,HUBB,0.001262855,8,UPS,0,3,ETSY
8/27/2010 0:00,0.068162517,0.068162517,0.02945025,9,CCL,0.016396041,8,UPS,-0.002246611,5,LULU
8/30/2010 0:00,0.014736852,0.014736852,-0.009001583,3,FE,0.003642055,8,AAPL,-0.030331814,2,LOW
8/31/2010 0:00,0.030759558,0.030759558,0.011169274,6,ES,-0.009950239,10,BLDR,0.00218248,7,VTR
9/1/2010 0:00,0.078094308,0.078094308,0.074808804,10,NFLX,0.070351811,10,BLDR,0.062964822,8,HIG
9/2/2010 0:00,0.072953796,0.072953796,0.02485382,10,IRM,0.023474155,10,BLDR,0.002940163,6,FRT
9/3/2010 0:00,0.18308591,0.18308591,0.009235008,1,PEP,0.068807272,10,BLDR,0.033619411,10,LEN
9/7/2010 0:00,0.05846423,0.05846423,0,2,VLTO,-0.018008382,6,SWKS,0,6,VLTO
9/8/2010 0:00,0.067920647,0.067920647,-0.000498889,10,AXP,0.008315488,8,TDY,0.03576074,10,MKTX
9/9/2010 0:00,0.121119113,0.121119113,-0.003490836,5,BAX,-0.00244975,9,BIIB,0.018903574,7,AMAT
9/10/2010 0:00,0.130543947,0.130543947,0.009180566,6,HD,0.001999546,1,FRT,0.058549049,10,MCO
9/13/2010 0:00,0.085308093,0.085308093,0.001151233,8,MTCH,0.085308093,10,BLDR,0.025628331,9,AXP
9/14/2010 0:00,0.0600288,0.0600288,0.018775473,9,VRTX,-0.034595497,4,BG,0.002025206,2,HRL
9/15/2010 0:00,0.054234981,0.054234981,0.009562499,9,GILD,0.017391288,10,BLDR,0.040719455,10,TSLA
9/16/2010 0:00,0.051397796,0.051397796,0.038634685,7,EXPE,-0.01389303,8,UPS,-0.007497101,10,VLO
9/17/2010 0:00,0.096491242,0.096491242,0.004514704,8,DXCM,0.035398196,10,BLDR,0,10,HII
9/20/2010 0:00,0.08220147,0.08220147,0.035955021,8,DXCM,0.064102607,10,BLDR,0.036465603,10,PODD
9/21/2010 0:00,0.089590729,0.089590729,-0.00677712,5,WFC,0,7,KVUE,-0.005927987,4,IFF
9/22/2010 0:00,0.08457707,0.08457707,0,2,VLTO,0,7,KVUE,-0.019543956,8,FITB
9/23/2010 0:00,0.13216086,0.13216086,0.01493913,5,TJX,0.004065983,8,AAPL,0.01791933,4,MOS
9/24/2010 0:00,0.079460229,0.079460229,0.068750008,10,AMD,0.060185125,10,BLDR,0.048881984,10,POOL
9/27/2010 0:00,0.087133605,0.087133605,0.003524226,1,AES,-0.007395247,4,MMC,-0.006257481,10,LRCX
9/28/2010 0:00,0.114003326,0.114003326,0.021365286,3,REG,0.039822971,10,BLDR,-0.013937335,9,STLD
9/29/2010 0:00,0.054182632,0.054182632,-0.018356647,8,MGM,0,7,KVUE,0.011431282,10,GPN
9/30/2010 0:00,0.044058683,0.044058683,0.001462941,4,SLB,0,10,ENPH,-0.008950313,10,GIS
10/1/2010 0:00,0.046035885,0.046035885,0.017515868,5,WFC,-0.003748688,8,UPS,0.044554462,10,PODD
